epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8026,0.73642,1.53168,1.16763,0.67512,0.81169,0.86509,0.81527,0.33146,0.81273,0.89234,3.91708e-05,3.91708e-05,3.91708e-05
2,28.3287,0.68521,1.37635,1.12024,0.71374,0.7584,0.82976,0.7658,0.35948,0.78541,0.89826,7.8057e-05,7.8057e-05,7.8057e-05
3,40.8201,0.66425,1.30567,1.10671,0.76107,0.70253,0.84293,0.77489,0.39518,0.76952,0.90321,0.000116158,0.000116158,0.000116158
4,53.0181,0.67124,1.28752,1.11489,0.76299,0.7478,0.85072,0.77215,0.40998,0.79698,0.91671,0.000115466,0.000115466,0.000115466
5,65.2725,0.65614,1.24461,1.09818,0.77511,0.75443,0.84459,0.77256,0.3966,0.76415,0.90847,0.000114288,0.000114288,0.000114288
6,78.0374,0.6548,1.15487,1.09169,0.76397,0.74301,0.83021,0.75275,0.41031,0.79786,0.90957,0.00011311,0.00011311,0.00011311
7,90.3771,0.63792,1.16491,1.08899,0.79712,0.736,0.85298,0.78198,0.41023,0.7978,0.90867,0.000111931,0.000111931,0.000111931
8,102.629,0.62583,1.1467,1.08124,0.72149,0.77053,0.84968,0.76952,0.42071,0.80345,0.91857,0.000110753,0.000110753,0.000110753
9,115.38,0.62514,1.10945,1.078,0.74036,0.73559,0.84828,0.78866,0.39804,0.77505,0.91334,0.000109575,0.000109575,0.000109575
10,127.666,0.62601,1.07922,1.08065,0.75296,0.74802,0.85012,0.78797,0.39795,0.78949,0.90387,0.000108397,0.000108397,0.000108397
11,140.327,0.62085,1.0793,1.06824,0.77654,0.7306,0.8472,0.76696,0.41228,0.78019,0.91366,0.000107219,0.000107219,0.000107219
12,152.549,0.60515,1.05388,1.06721,0.78755,0.73695,0.83873,0.77115,0.40973,0.79273,0.91104,0.000106041,0.000106041,0.000106041
13,164.949,0.62031,1.03761,1.0798,0.79673,0.7048,0.83124,0.76538,0.4095,0.78923,0.9166,0.000104863,0.000104863,0.000104863
14,177.509,0.62113,1.05746,1.08483,0.73797,0.74664,0.8337,0.76481,0.43038,0.7605,0.92714,0.000103685,0.000103685,0.000103685
15,189.719,0.60421,1.02545,1.06836,0.806,0.71375,0.8378,0.76686,0.41419,0.7764,0.91395,0.000102507,0.000102507,0.000102507
16,202.212,0.58118,0.95287,1.04324,0.75983,0.7686,0.84227,0.77354,0.39742,0.76791,0.8992,0.000101329,0.000101329,0.000101329
17,214.547,0.58979,0.97593,1.04959,0.7166,0.77768,0.83908,0.77504,0.4065,0.73921,0.905,0.00010015,0.00010015,0.00010015
18,226.852,0.6129,0.99683,1.06254,0.73349,0.74866,0.8316,0.76262,0.40627,0.77087,0.90969,9.89723e-05,9.89723e-05,9.89723e-05
19,239.578,0.60049,0.95814,1.05871,0.73868,0.76851,0.83441,0.7668,0.40704,0.75353,0.90828,9.77942e-05,9.77942e-05,9.77942e-05
20,251.876,0.59182,0.96403,1.055,0.73208,0.75107,0.82076,0.74817,0.41045,0.78533,0.9063,9.66161e-05,9.66161e-05,9.66161e-05
21,264.209,0.58172,0.92811,1.04386,0.72395,0.79631,0.84057,0.77625,0.39862,0.75272,0.9062,9.5438e-05,9.5438e-05,9.5438e-05
22,276.981,0.57722,0.93477,1.04287,0.75506,0.75371,0.84409,0.77074,0.41375,0.75269,0.91153,9.42599e-05,9.42599e-05,9.42599e-05
23,289.333,0.57514,0.93009,1.03871,0.75264,0.73259,0.83383,0.7594,0.40827,0.7676,0.90848,9.30818e-05,9.30818e-05,9.30818e-05
24,301.927,0.56379,0.90582,1.03643,0.72294,0.74104,0.82611,0.75629,0.40725,0.75236,0.90767,9.19037e-05,9.19037e-05,9.19037e-05
25,314.207,0.57867,0.90342,1.03747,0.69895,0.77545,0.81418,0.74478,0.40311,0.77527,0.90579,9.07256e-05,9.07256e-05,9.07256e-05
26,326.441,0.56547,0.90706,1.03654,0.72701,0.77489,0.82572,0.75637,0.421,0.77274,0.91108,8.95475e-05,8.95475e-05,8.95475e-05
27,339.042,0.58568,0.9355,1.04279,0.7606,0.70873,0.81816,0.74474,0.41822,0.7642,0.91651,8.83694e-05,8.83694e-05,8.83694e-05
28,351.3,0.58057,0.8966,1.04959,0.73074,0.74639,0.81256,0.74508,0.40697,0.76967,0.91014,8.71913e-05,8.71913e-05,8.71913e-05
29,363.688,0.5763,0.88062,1.03336,0.75295,0.7584,0.82636,0.75629,0.41699,0.74693,0.91262,8.60132e-05,8.60132e-05,8.60132e-05
30,375.886,0.57137,0.90546,1.03989,0.79398,0.70482,0.82603,0.75629,0.41353,0.7768,0.91148,8.48351e-05,8.48351e-05,8.48351e-05
31,388.136,0.56247,0.88201,1.03358,0.73436,0.74164,0.8161,0.74948,0.40838,0.7468,0.90477,8.3657e-05,8.3657e-05,8.3657e-05
32,400.87,0.55985,0.85894,1.03739,0.71745,0.76744,0.81554,0.74627,0.40343,0.76873,0.90178,8.24789e-05,8.24789e-05,8.24789e-05
33,413.215,0.55262,0.85913,1.0284,0.73979,0.74255,0.81658,0.74277,0.4234,0.77429,0.91712,8.13008e-05,8.13008e-05,8.13008e-05
34,425.63,0.57167,0.87111,1.04481,0.71121,0.77488,0.81498,0.74658,0.41665,0.75683,0.91257,8.01227e-05,8.01227e-05,8.01227e-05
35,438.342,0.54738,0.85324,1.01534,0.76347,0.75914,0.82117,0.75656,0.39391,0.75147,0.89624,7.89446e-05,7.89446e-05,7.89446e-05
36,450.57,0.5639,0.84684,1.03279,0.72596,0.77349,0.81109,0.74689,0.39965,0.76407,0.90186,7.77665e-05,7.77665e-05,7.77665e-05
37,463.114,0.56098,0.86115,1.03343,0.71256,0.75964,0.81546,0.74937,0.40905,0.76133,0.90906,7.65884e-05,7.65884e-05,7.65884e-05
38,475.463,0.54598,0.84924,1.02445,0.70757,0.77856,0.82034,0.74704,0.41817,0.77933,0.91793,7.54103e-05,7.54103e-05,7.54103e-05
39,487.695,0.54035,0.8336,1.01902,0.74724,0.73837,0.81839,0.7492,0.41152,0.74418,0.91388,7.42322e-05,7.42322e-05,7.42322e-05
40,500.381,0.53947,0.8227,1.01606,0.73577,0.75277,0.80893,0.74084,0.41008,0.76082,0.91044,7.30541e-05,7.30541e-05,7.30541e-05
41,512.584,0.5494,0.84195,1.02456,0.72933,0.77339,0.81848,0.74756,0.41362,0.76693,0.90915,7.1876e-05,7.1876e-05,7.1876e-05
42,525.052,0.54481,0.82103,1.02456,0.7681,0.73084,0.81315,0.7401,0.41555,0.77176,0.91892,7.06979e-05,7.06979e-05,7.06979e-05
43,537.294,0.53751,0.83618,1.02326,0.72988,0.75453,0.81108,0.74151,0.40286,0.79117,0.90375,6.95198e-05,6.95198e-05,6.95198e-05
